time,province,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-04-07,天津,88.62,1.37,56.85,65.64,112.5,59.75,22.95
2017-04-07,宁夏,100.84,0.68,23.17,86.27,149.11,39.91,25.83
2017-04-07,安徽,95.55,1.28,36.59,60.84,96.23,69.13,15.45
2017-04-07,山东,123.24,1.25,38.08,84.9,142.49,90.84,19.28
2017-04-07,山西,131.07,1.36,34.16,110.18,150.44,96.95,31.7
2017-04-07,广东,51.56,0.81,30.65,40.12,53.61,31.87,10.49
2017-04-07,广西,55.87,0.85,19.19,42.31,57.2,35.87,13.44
2017-04-07,新疆,54.64,0.84,19.99,70.08,62.37,25.81,10.55
2017-04-07,江苏,73.58,1.05,38.58,60.02,77.37,52.06,12.19
2017-04-07,江西,58.19,1.15,19.98,55.99,57.23,38.83,18.46
2017-04-07,河北,143.09,1.12,49.7,77.07,166.36,105.65,27.66
2017-04-07,河南,124.11,1.46,42.73,72.93,136.14,92.64,19.39
2017-04-07,浙江,65.62,0.89,43.55,40.22,70.88,43.62,10.11
2017-04-07,海南,27.33,0.51,8.86,37.17,27.55,12.96,3.97
2017-04-07,湖北,70.61,1.4,32.19,50.72,75.0,47.77,12.27
2017-04-07,湖南,56.6,1.0,20.34,55.41,58.2,35.3,13.64
2017-04-07,甘肃,76.15,0.63,24.75,70.1,107.61,41.25,13.77
2017-04-07,福建,54.74,0.84,30.36,36.61,58.53,34.07,11.76
2017-04-07,西藏,58.89,0.65,14.22,87.06,83.73,23.83,9.51
2017-04-07,贵州,51.26,0.66,16.73,73.75,55.11,27.23,10.79
2017-04-07,辽宁,104.95,1.08,33.28,73.49,111.68,76.86,22.36
2017-04-07,重庆,65.81,1.06,54.44,49.77,76.64,42.36,16.45
2017-04-07,陕西,91.47,1.2,38.34,59.86,103.08,64.71,15.18
2017-04-07,青海,121.72,1.01,22.54,84.22,165.1,62.85,24.6
2017-04-07,黑龙江,57.45,0.71,23.36,65.22,58.04,36.26,15.63
2017-04-08,上海,81.58,0.77,57.94,53.67,61.05,60.07,9.69
2017-04-08,云南,58.88,0.8,19.35,83.05,61.4,34.3,12.42
2017-04-08,内蒙古,47.14,0.52,14.09,81.53,51.65,14.61,11.25
2017-04-08,北京,116.9,0.9,60.91,30.08,139.51,77.68,6.77
2017-04-08,吉林,55.38,0.93,19.27,77.68,54.44,32.85,11.27
2017-04-08,四川,49.27,0.77,24.3,62.1,50.0,28.4,13.4
2017-04-08,天津,90.91,1.55,70.03,35.9,114.88,51.13,24.03
2017-04-08,宁夏,41.72,0.59,17.29,83.62,40.32,18.81,20.38
2017-04-08,安徽,107.1,1.29,32.71,69.2,116.09,76.69,15.77
2017-04-08,山东,113.77,1.15,38.55,57.29,133.83,82.26,17.61
2017-04-08,山西,83.68,1.19,30.42,65.08,92.91,55.95,17.78
2017-04-08,广东,45.17,0.74,26.09,31.72,46.41,26.54,10.21
2017-04-08,广西,51.64,0.82,19.63,37.6,53.45,31.6,13.65
2017-04-08,新疆,54.88,0.77,20.44,67.17,63.28,25.9,10.92
2017-04-08,江苏,94.48,1.15,46.75,59.22,110.17,67.7,15.42
2017-04-08,江西,69.1,1.06,20.83,52.16,72.83,47.01,25.94
2017-04-08,河北,112.85,0.95,45.9,48.39,129.16,75.04,21.81
